"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"3416692_3",7632,"428","",3,"","",""
"3416691_3",7632,"427","",3,"","",""
"3416690_3",7632,"426","",3,"","",""
"3416689_3",7632,"425","",3,"","",""
"3416688_3",7632,"424","",3,"","",""
"3416687_3",7632,"423","",3,"","",""
"3416686_3",7632,"422","",3,"","",""
"3416685_3",7632,"420","",3,"","",""
"3416684_3",7632,"417","",3,"","",""
"3416683_3",7632,"416","",3,"","",""
"3416682_3",7632,"414","",3,"","",""
"3416681_3",7632,"412","",3,"","",""
"3416680_3",7632,"411","",3,"","",""
"3416679_3",7632,"410","",3,"","",""
"3416678_3",12961,"AST","",3,"","",""
"3416677_3",12961,"AST","",3,"","",""
"3416676_3",12961,"AST","",3,"","",""
"3416675_3",12961,"AST","",3,"","",""
"3416674_3",12961,"AST","",3,"","",""
"3416673_3",12961,"AST","",3,"","",""
"3416672_3",12961,"AST","",3,"","",""
"3416671_3",12961,"AST","",3,"","",""
"3416670_3",12961,"AST","",3,"","",""
"3416669_3",12961,"AST","",3,"","",""
"3416668_3",12961,"AST","",3,"","",""
"3416667_3",12961,"AST","",3,"","",""
"3416666_3",12961,"AST","",3,"","",""
"3416665_1",7631,"U49","",1,"","",""
"3416664_1",7631,"U47","",1,"","",""
"3416663_1",7631,"U46","",1,"","",""
"3416662_1",7631,"U45","",1,"","",""
"3416661_1",7631,"U44","",1,"","",""
"3416660_1",7631,"U43","",1,"","",""
"3416659_1",7631,"U42","",1,"","",""
"3416658_1",7631,"U41","",1,"","",""
"3374228_3",7905,"941","",3,"","",""
"3374227_3",7904,"961","",3,"","",""
"3374226_3",7904,"952","",3,"","",""
"3374225_3",7904,"939","",3,"","",""
"3374224_3",7904,"938","",3,"","",""
"3374223_3",7904,"936","",3,"","",""
"3374222_3",7904,"919","",3,"","",""
"3374221_3",7904,"918","",3,"","",""
"3374220_3",7904,"917","",3,"","",""
"3374219_3",7904,"916","",3,"","",""
"3374218_3",7904,"914","",3,"","",""
"3374216_3",7904,"902","",3,"","",""
"3374215_3",7904,"901","",3,"","",""
"3374214_3",7904,"762","",3,"","",""
"3374213_3",7904,"738","",3,"","",""
"3374212_3",7904,"737","",3,"","",""
"3374205_3",7904,"716","",3,"","",""
"3374204_3",7904,"712","",3,"","",""
"3374203_3",7904,"744","",3,"","",""
"3374202_3",7904,"743","",3,"","",""
"3374201_3",7905,"725","",3,"","",""
"3374200_3",7904,"943","",3,"","",""
"3374199_3",7904,"765","",3,"","",""
"3374198_3",7906,"ASTWi","",3,"","",""
"3374197_3",7906,"ASTMaulbronn","",3,"","",""
"3374196_3",7906,"ASTIl","",3,"","",""
"3374195_3",7905,"722","",3,"","",""
"3374194_3",7905,"722","",3,"","",""
"3374193_3",7904,"763","",3,"","",""
"3374192_3",7904,"739","",3,"","",""
"3374191_3",7904,"718","",3,"","",""
"3374190_3",7904,"736","",3,"","",""
"3374189_3",7904,"717","",3,"","",""
"3374188_3",7904,"724","",3,"","",""
"3374187_3",7904,"700","",3,"","",""
"3374186_3",7904,"715","",3,"","",""
"3374185_3",7904,"721","",3,"","",""
"3374184_3",7904,"705","",3,"","",""
"3374183_3",7904,"703","",3,"","",""
"3374182_3",7904,"702","",3,"","",""
"3374181_3",7904,"701","",3,"","",""
"3374180_3",7904,"720","",3,"","",""
"3374179_3",7904,"109","",3,"","",""
